user_id,preferences,gender,number_of_adults,number_of_children
124,"Beaches, Historical",Male,2,0
125,"Nature, Adventure",Female,2,0
126,"City, Historical",Female,1,0
127,"Beaches, Historical",Female,2,2
128,"Nature, Adventure",Male,2,2
129,"City, Historical",Male,2,1
130,"Beaches, Historical",Male,2,2
131,"Nature, Adventure",Female,1,2
132,"City, Historical",Female,2,2
133,"Beaches, Historical",Male,2,2
134,"Nature, Adventure",Female,1,0
135,"City, Historical",Female,1,2
136,"Beaches, Historical",Male,2,2
137,"Nature, Adventure",Female,1,2
138,"City, Historical",Female,1,2
139,"Beaches, Historical",Male,1,2
140,"Nature, Adventure",Female,1,2
141,"City, Historical",Female,2,1
142,"Beaches, Historical",Male,2,1
143,"Nature, Adventure",Male,1,0
144,"City, Historical",Female,1,1
145,"Beaches, Historical",Male,2,0
146,"Nature, Adventure",Female,1,1
147,"City, Historical",Female,2,1
148,"Beaches, Historical",Male,2,1
149,"Nature, Adventure",Male,2,0
150,"City, Historical",Male,2,0
151,"Beaches, Historical",Female,1,1
152,"Nature, Adventure",Male,1,1
153,"City, Historical",Female,1,0
154,"Beaches, Historical",Female,2,0
155,"Nature, Adventure",Male,1,1
156,"City, Historical",Female,2,1
157,"Beaches, Historical",Female,2,1
158,"Nature, Adventure",Male,2,1
159,"City, Historical",Male,1,0
160,"Beaches, Historical",Female,2,2
161,"Nature, Adventure",Female,1,0
162,"City, Historical",Male,1,0
163,"Beaches, Historical",Female,2,2
164,"Nature, Adventure",Male,1,2
165,"City, Historical",Male,2,0
166,"Beaches, Historical",Male,2,0
167,"Nature, Adventure",Male,1,2
168,"City, Historical",Female,1,2
169,"Beaches, Historical",Female,2,2
170,"Nature, Adventure",Female,1,0
171,"City, Historical",Male,2,1
172,"Beaches, Historical",Male,1,2
173,"Nature, Adventure",Male,2,1
174,"City, Historical",Male,1,1
175,"Beaches, Historical",Male,2,0
176,"Nature, Adventure",Male,1,0
177,"City, Historical",Male,2,1
178,"Beaches, Historical",Female,1,0
179,"Nature, Adventure",Male,1,2
180,"City, Historical",Female,1,2
181,"Beaches, Historical",Male,2,1
182,"Nature, Adventure",Male,1,1
183,"City, Historical",Male,2,2
184,"Beaches, Historical",Male,1,2
185,"Nature, Adventure",Female,2,1
186,"City, Historical",Male,1,2
187,"Beaches, Historical",Female,1,0
188,"Nature, Adventure",Female,1,0
189,"City, Historical",Female,1,1
190,"Beaches, Historical",Female,1,0
191,"Nature, Adventure",Male,2,1
192,"City, Historical",Male,1,0
193,"Beaches, Historical",Female,1,0
194,"Nature, Adventure",Female,2,1
195,"City, Historical",Male,1,2
196,"Beaches, Historical",Male,1,1
197,"Nature, Adventure",Female,1,1
198,"City, Historical",Male,2,2
199,"Beaches, Historical",Male,1,0
200,"Nature, Adventure",Male,1,1
201,"City, Historical",Male,2,1
202,"Beaches, Historical",Male,1,1
203,"Nature, Adventure",Female,2,0
204,"City, Historical",Male,1,0
205,"Beaches, Historical",Female,1,2
206,"Nature, Adventure",Female,2,1
207,"City, Historical",Male,2,2
208,"Beaches, Historical",Male,1,2
209,"Nature, Adventure",Male,1,1
210,"City, Historical",Male,1,1
211,"Beaches, Historical",Female,2,2
212,"Nature, Adventure",Female,2,0
213,"City, Historical",Male,1,2
214,"Beaches, Historical",Male,1,0
215,"Nature, Adventure",Female,1,0
216,"City, Historical",Female,1,2
217,"Beaches, Historical",Male,1,1
218,"Nature, Adventure",Female,2,2
219,"City, Historical",Female,1,2
220,"Beaches, Historical",Female,2,0
221,"Nature, Adventure",Male,1,2
222,"City, Historical",Male,1,1
223,"Beaches, Historical",Female,1,2
224,"Nature, Adventure",Male,2,2
225,"City, Historical",Female,2,0
226,"Beaches, Historical",Female,2,1
227,"Nature, Adventure",Male,1,1
228,"City, Historical",Female,1,0
229,"Beaches, Historical",Male,2,1
230,"Nature, Adventure",Female,2,1
231,"City, Historical",Female,2,2
232,"Beaches, Historical",Male,2,0
233,"Nature, Adventure",Male,1,1
234,"City, Historical",Male,1,0
235,"Beaches, Historical",Male,1,2
236,"Nature, Adventure",Male,2,1
237,"City, Historical",Female,2,0
238,"Beaches, Historical",Female,1,1
239,"Nature, Adventure",Male,2,0
240,"City, Historical",Female,1,2
241,"Beaches, Historical",Female,1,2
242,"Nature, Adventure",Female,2,1
243,"City, Historical",Female,1,1
244,"Beaches, Historical",Male,2,0
245,"Nature, Adventure",Male,2,1
246,"City, Historical",Female,2,2
247,"Beaches, Historical",Female,2,2
248,"Nature, Adventure",Female,1,2
249,"City, Historical",Male,1,1
250,"Beaches, Historical",Male,1,0
251,"Nature, Adventure",Female,2,2
252,"City, Historical",Male,2,2
253,"Beaches, Historical",Male,2,1
254,"Nature, Adventure",Female,1,1
255,"City, Historical",Female,2,1
256,"Beaches, Historical",Male,2,1
257,"Nature, Adventure",Female,2,0
258,"City, Historical",Male,2,1
259,"Beaches, Historical",Male,1,0
260,"Nature, Adventure",Female,1,0
261,"City, Historical",Male,2,2
262,"Beaches, Historical",Female,2,2
263,"Nature, Adventure",Male,1,1
264,"City, Historical",Female,1,2
265,"Beaches, Historical",Male,1,0
266,"Nature, Adventure",Male,2,1
267,"City, Historical",Female,2,1
268,"Beaches, Historical",Female,1,1
269,"Nature, Adventure",Male,2,1
270,"City, Historical",Male,2,2
271,"Beaches, Historical",Male,2,1
272,"Nature, Adventure",Male,2,0
273,"City, Historical",Male,2,1
274,"Beaches, Historical",Male,1,2
275,"Nature, Adventure",Female,1,0
276,"City, Historical",Male,1,2
277,"Beaches, Historical",Male,2,2
278,"Nature, Adventure",Male,1,2
279,"City, Historical",Male,2,2
280,"Beaches, Historical",Female,1,1
281,"Nature, Adventure",Male,2,2
282,"City, Historical",Male,2,1
283,"Beaches, Historical",Female,1,1
284,"Nature, Adventure",Female,1,2
285,"City, Historical",Female,1,0
286,"Beaches, Historical",Male,2,2
287,"Nature, Adventure",Female,1,2
288,"City, Historical",Female,1,1
289,"Beaches, Historical",Male,2,1
290,"Nature, Adventure",Female,2,1
291,"City, Historical",Male,2,1
292,"Beaches, Historical",Male,2,2
293,"Nature, Adventure",Female,1,0
294,"City, Historical",Male,2,0
295,"Beaches, Historical",Male,1,0
296,"Nature, Adventure",Male,1,0
297,"City, Historical",Male,1,1
298,"Beaches, Historical",Female,1,2
299,"Nature, Adventure",Female,2,1
300,"City, Historical",Female,2,1
301,"Beaches, Historical",Female,2,2
302,"Nature, Adventure",Male,1,2
303,"City, Historical",Female,2,2
304,"Beaches, Historical",Male,1,1
305,"Nature, Adventure",Female,1,0
306,"City, Historical",Female,2,1
307,"Beaches, Historical",Female,2,1
308,"Nature, Adventure",Female,2,2
309,"City, Historical",Female,2,1
310,"Beaches, Historical",Male,2,0
311,"Nature, Adventure",Female,2,0
312,"City, Historical",Male,1,1
313,"Beaches, Historical",Female,1,2
314,"Nature, Adventure",Female,2,1
315,"City, Historical",Male,2,0
316,"Beaches, Historical",Female,2,0
317,"Nature, Adventure",Male,2,1
318,"City, Historical",Female,2,0
319,"Beaches, Historical",Female,2,1
320,"Nature, Adventure",Female,2,0
321,"City, Historical",Female,2,2
322,"Beaches, Historical",Female,2,0
323,"Nature, Adventure",Male,2,1
324,"City, Historical",Male,1,1
325,"Beaches, Historical",Male,1,2
326,"Nature, Adventure",Female,1,0
327,"City, Historical",Female,1,1
328,"Beaches, Historical",Female,2,0
329,"Nature, Adventure",Male,2,2
330,"City, Historical",Female,2,1
331,"Beaches, Historical",Male,1,2
332,"Nature, Adventure",Female,2,1
333,"City, Historical",Female,2,0
334,"Beaches, Historical",Male,2,1
335,"Nature, Adventure",Female,2,2
336,"City, Historical",Male,2,1
337,"Beaches, Historical",Male,2,2
338,"Nature, Adventure",Male,2,1
339,"City, Historical",Female,1,2
340,"Beaches, Historical",Female,1,0
341,"Nature, Adventure",Male,1,1
342,"City, Historical",Male,1,0
343,"Beaches, Historical",Female,2,1
344,"Nature, Adventure",Male,2,1
345,"City, Historical",Male,1,0
346,"Beaches, Historical",Male,2,2
347,"Nature, Adventure",Female,1,0
348,"City, Historical",Female,1,0
349,"Beaches, Historical",Female,2,1
350,"Nature, Adventure",Male,1,2
351,"City, Historical",Male,2,2
352,"Beaches, Historical",Female,1,0
353,"Nature, Adventure",Female,2,0
354,"City, Historical",Female,1,2
355,"Beaches, Historical",Female,1,0
356,"Nature, Adventure",Male,1,1
357,"City, Historical",Female,1,1
358,"Beaches, Historical",Female,2,0
359,"Nature, Adventure",Male,2,1
360,"City, Historical",Female,2,2
361,"Beaches, Historical",Female,1,0
362,"Nature, Adventure",Male,2,1
363,"City, Historical",Female,1,0
364,"Beaches, Historical",Female,2,2
365,"Nature, Adventure",Male,1,1
366,"City, Historical",Female,1,2
367,"Beaches, Historical",Female,1,0
368,"Nature, Adventure",Male,1,0
369,"City, Historical",Male,2,1
370,"Beaches, Historical",Female,2,2
371,"Nature, Adventure",Male,2,0
372,"City, Historical",Female,1,2
373,"Beaches, Historical",Male,2,2
374,"Nature, Adventure",Female,1,1
375,"City, Historical",Female,1,2
376,"Beaches, Historical",Female,2,0
377,"Nature, Adventure",Female,2,0
378,"City, Historical",Female,2,1
379,"Beaches, Historical",Female,1,2
380,"Nature, Adventure",Male,2,0
381,"City, Historical",Female,2,0
382,"Beaches, Historical",Female,1,1
383,"Nature, Adventure",Female,2,2
384,"City, Historical",Male,1,2
385,"Beaches, Historical",Female,2,2
386,"Nature, Adventure",Male,2,0
387,"City, Historical",Male,1,0
388,"Beaches, Historical",Male,1,1
389,"Nature, Adventure",Female,2,0
390,"City, Historical",Male,2,1
391,"Beaches, Historical",Female,1,1
392,"Nature, Adventure",Male,2,2
393,"City, Historical",Female,2,1
394,"Beaches, Historical",Female,2,2
395,"Nature, Adventure",Male,2,2
396,"City, Historical",Female,2,0
397,"Beaches, Historical",Female,2,0
398,"Nature, Adventure",Female,1,1
399,"City, Historical",Male,1,1
400,"Beaches, Historical",Female,2,1
401,"Nature, Adventure",Male,1,1
402,"City, Historical",Male,2,0
403,"Beaches, Historical",Male,1,1
404,"Nature, Adventure",Male,1,2
405,"City, Historical",Male,2,0
406,"Beaches, Historical",Male,2,2
407,"Nature, Adventure",Female,2,1
408,"City, Historical",Male,2,0
409,"Beaches, Historical",Male,2,2
410,"Nature, Adventure",Male,1,0
411,"City, Historical",Male,2,2
412,"Beaches, Historical",Female,2,0
413,"Nature, Adventure",Female,2,2
414,"City, Historical",Female,1,2
415,"Beaches, Historical",Male,1,2
416,"Nature, Adventure",Female,2,0
417,"City, Historical",Male,2,2
418,"Beaches, Historical",Female,1,2
419,"Nature, Adventure",Male,2,1
420,"City, Historical",Female,2,2
421,"Beaches, Historical",Female,2,1
422,"Nature, Adventure",Female,1,0
423,"City, Historical",Male,1,2
424,"Beaches, Historical",Female,1,0
425,"Nature, Adventure",Male,2,1
426,"City, Historical",Female,1,1
427,"Beaches, Historical",Female,1,0
428,"Nature, Adventure",Female,1,2
429,"City, Historical",Female,1,0
430,"Beaches, Historical",Male,1,1
431,"Nature, Adventure",Male,1,1
432,"City, Historical",Male,2,2
433,"Beaches, Historical",Female,2,1
434,"Nature, Adventure",Female,2,2
435,"City, Historical",Male,1,2
436,"Beaches, Historical",Female,1,2
437,"Nature, Adventure",Male,2,1
438,"City, Historical",Female,2,0
439,"Beaches, Historical",Male,2,0
440,"Nature, Adventure",Female,1,1
441,"City, Historical",Female,2,0
442,"Beaches, Historical",Female,1,0
443,"Nature, Adventure",Male,2,1
444,"City, Historical",Female,1,0
445,"Beaches, Historical",Female,2,1
446,"Nature, Adventure",Female,2,2
447,"City, Historical",Male,2,2
448,"Beaches, Historical",Male,1,0
449,"Nature, Adventure",Male,2,1
450,"City, Historical",Female,1,2
451,"Beaches, Historical",Male,1,1
452,"Nature, Adventure",Male,2,1
453,"City, Historical",Female,1,1
454,"Beaches, Historical",Male,2,0
455,"Nature, Adventure",Female,1,2
456,"City, Historical",Female,1,0
457,"Beaches, Historical",Female,2,1
458,"Nature, Adventure",Male,1,2
459,"City, Historical",Female,1,0
460,"Beaches, Historical",Male,1,2
461,"Nature, Adventure",Female,1,0
462,"City, Historical",Male,1,1
463,"Beaches, Historical",Male,1,2
464,"Nature, Adventure",Female,1,1
465,"City, Historical",Male,1,1
466,"Beaches, Historical",Female,1,2
467,"Nature, Adventure",Male,2,2
468,"City, Historical",Male,1,0
469,"Beaches, Historical",Male,2,0
470,"Nature, Adventure",Male,2,1
471,"City, Historical",Male,1,0
472,"Beaches, Historical",Female,2,2
473,"Nature, Adventure",Male,2,2
474,"City, Historical",Male,2,2
475,"Beaches, Historical",Male,1,1
476,"Nature, Adventure",Female,1,0
477,"City, Historical",Female,2,0
478,"Beaches, Historical",Male,2,0
479,"Nature, Adventure",Male,2,0
480,"City, Historical",Female,2,0
481,"Beaches, Historical",Female,1,0
482,"Nature, Adventure",Female,2,0
483,"City, Historical",Female,1,1
484,"Beaches, Historical",Female,2,0
485,"Nature, Adventure",Female,1,0
486,"City, Historical",Male,1,0
487,"Beaches, Historical",Female,1,1
488,"Nature, Adventure",Female,1,0
489,"City, Historical",Male,2,1
490,"Beaches, Historical",Female,2,1
491,"Nature, Adventure",Female,2,1
492,"City, Historical",Female,2,2
493,"Beaches, Historical",Male,2,0
494,"Nature, Adventure",Female,1,2
495,"City, Historical",Female,2,0
496,"Beaches, Historical",Male,1,1
497,"Nature, Adventure",Male,2,1
498,"City, Historical",Male,1,0
499,"Beaches, Historical",Male,2,0
500,"Nature, Adventure",Female,1,1
501,"City, Historical",Male,2,0
502,"Beaches, Historical",Female,2,0
503,"Nature, Adventure",Male,1,2
504,"City, Historical",Female,1,1
505,"Beaches, Historical",Female,1,2
506,"Nature, Adventure",Female,2,1
507,"City, Historical",Female,2,2
508,"Beaches, Historical",Female,2,0
509,"Nature, Adventure",Male,1,0
510,"City, Historical",Female,1,1
511,"Beaches, Historical",Male,2,1
512,"Nature, Adventure",Male,1,1
513,"City, Historical",Male,1,2
514,"Beaches, Historical",Female,2,1
515,"Nature, Adventure",Male,1,0
516,"City, Historical",Male,1,1
517,"Beaches, Historical",Male,1,0
518,"Nature, Adventure",Female,2,2
519,"City, Historical",Male,1,0
520,"Beaches, Historical",Female,2,0
521,"Nature, Adventure",Male,1,2
522,"City, Historical",Female,2,0
523,"Beaches, Historical",Male,1,2
524,"Nature, Adventure",Female,2,2
525,"City, Historical",Female,2,2
526,"Beaches, Historical",Male,1,0
527,"Nature, Adventure",Male,1,2
528,"City, Historical",Female,2,1
529,"Beaches, Historical",Female,1,0
530,"Nature, Adventure",Female,2,0
531,"City, Historical",Female,1,1
532,"Beaches, Historical",Female,2,1
533,"Nature, Adventure",Female,1,1
534,"City, Historical",Female,1,1
535,"Beaches, Historical",Female,1,2
536,"Nature, Adventure",Female,1,0
537,"City, Historical",Male,2,0
538,"Beaches, Historical",Female,2,1
539,"Nature, Adventure",Male,1,2
540,"City, Historical",Female,2,2
541,"Beaches, Historical",Female,1,1
542,"Nature, Adventure",Female,2,1
543,"City, Historical",Female,2,1
544,"Beaches, Historical",Female,1,1
545,"Nature, Adventure",Male,2,2
546,"City, Historical",Female,1,0
547,"Beaches, Historical",Female,1,2
548,"Nature, Adventure",Male,1,0
549,"City, Historical",Male,1,0
550,"Beaches, Historical",Male,1,0
551,"Nature, Adventure",Male,2,2
552,"City, Historical",Female,2,1
553,"Beaches, Historical",Female,1,1
554,"Nature, Adventure",Female,1,2
555,"City, Historical",Female,1,2
556,"Beaches, Historical",Male,1,0
557,"Nature, Adventure",Male,2,2
558,"City, Historical",Male,2,0
559,"Beaches, Historical",Male,1,2
560,"Nature, Adventure",Female,1,1
561,"City, Historical",Male,2,1
562,"Beaches, Historical",Female,1,1
563,"Nature, Adventure",Male,2,2
564,"City, Historical",Male,2,0
565,"Beaches, Historical",Male,2,1
566,"Nature, Adventure",Male,2,0
567,"City, Historical",Female,2,1
568,"Beaches, Historical",Female,2,0
569,"Nature, Adventure",Female,2,2
570,"City, Historical",Female,2,2
571,"Beaches, Historical",Female,2,0
572,"Nature, Adventure",Female,2,2
573,"City, Historical",Male,2,0
574,"Beaches, Historical",Male,1,2
575,"Nature, Adventure",Male,1,2
576,"City, Historical",Female,2,0
577,"Beaches, Historical",Female,2,1
578,"Nature, Adventure",Female,2,1
579,"City, Historical",Male,2,1
580,"Beaches, Historical",Female,1,0
581,"Nature, Adventure",Male,1,1
582,"City, Historical",Female,2,2
583,"Beaches, Historical",Male,1,1
584,"Nature, Adventure",Male,1,2
585,"City, Historical",Male,2,1
586,"Beaches, Historical",Male,1,1
587,"Nature, Adventure",Female,2,0
588,"City, Historical",Female,1,2
589,"Beaches, Historical",Male,2,2
590,"Nature, Adventure",Male,1,2
591,"City, Historical",Male,1,1
592,"Beaches, Historical",Female,2,1
593,"Nature, Adventure",Female,1,0
594,"City, Historical",Female,1,0
595,"Beaches, Historical",Female,1,0
596,"Nature, Adventure",Female,1,1
597,"City, Historical",Female,1,0
598,"Beaches, Historical",Female,2,2
599,"Nature, Adventure",Female,1,0
600,"City, Historical",Female,2,1
601,"Beaches, Historical",Male,1,0
602,"Nature, Adventure",Female,1,2
603,"City, Historical",Male,2,2
604,"Beaches, Historical",Female,2,2
605,"Nature, Adventure",Male,2,1
606,"City, Historical",Female,2,2
607,"Beaches, Historical",Male,1,0
608,"Nature, Adventure",Male,1,0
609,"City, Historical",Female,2,2
610,"Beaches, Historical",Male,1,1
611,"Nature, Adventure",Male,2,2
612,"City, Historical",Female,2,0
613,"Beaches, Historical",Female,2,0
614,"Nature, Adventure",Female,2,2
615,"City, Historical",Male,1,1
616,"Beaches, Historical",Female,1,0
617,"Nature, Adventure",Male,2,1
618,"City, Historical",Female,1,2
619,"Beaches, Historical",Male,1,0
620,"Nature, Adventure",Male,2,0
621,"City, Historical",Female,2,0
622,"Beaches, Historical",Male,2,0
623,"Nature, Adventure",Female,1,0
624,"City, Historical",Female,1,0
625,"Beaches, Historical",Male,1,2
626,"Nature, Adventure",Male,2,0
627,"City, Historical",Male,2,0
628,"Beaches, Historical",Female,1,2
629,"Nature, Adventure",Female,2,0
630,"City, Historical",Female,1,0
631,"Beaches, Historical",Female,1,2
632,"Nature, Adventure",Male,1,0
633,"City, Historical",Male,2,0
634,"Beaches, Historical",Male,2,2
635,"Nature, Adventure",Male,1,0
636,"City, Historical",Female,2,2
637,"Beaches, Historical",Male,1,0
638,"Nature, Adventure",Male,2,0
639,"City, Historical",Male,1,2
640,"Beaches, Historical",Male,1,1
641,"Nature, Adventure",Male,2,2
642,"City, Historical",Female,1,1
643,"Beaches, Historical",Male,1,1
644,"Nature, Adventure",Female,1,0
645,"City, Historical",Female,1,2
646,"Beaches, Historical",Female,1,1
647,"Nature, Adventure",Female,2,1
648,"City, Historical",Female,2,1
649,"Beaches, Historical",Male,2,1
650,"Nature, Adventure",Male,2,2
651,"City, Historical",Male,2,0
652,"Beaches, Historical",Female,2,0
653,"Nature, Adventure",Male,2,1
654,"City, Historical",Female,2,0
655,"Beaches, Historical",Female,1,1
656,"Nature, Adventure",Male,1,0
657,"City, Historical",Male,1,0
658,"Beaches, Historical",Male,1,2
659,"Nature, Adventure",Male,2,1
660,"City, Historical",Female,2,2
661,"Beaches, Historical",Female,2,0
662,"Nature, Adventure",Female,2,1
663,"City, Historical",Male,1,1
664,"Beaches, Historical",Female,2,1
665,"Nature, Adventure",Male,1,1
666,"City, Historical",Male,1,1
667,"Beaches, Historical",Male,2,1
668,"Nature, Adventure",Male,2,0
669,"City, Historical",Male,2,1
670,"Beaches, Historical",Female,1,0
671,"Nature, Adventure",Male,2,2
672,"City, Historical",Female,2,0
673,"Beaches, Historical",Female,2,2
674,"Nature, Adventure",Male,1,1
675,"City, Historical",Female,2,0
676,"Beaches, Historical",Male,2,0
677,"Nature, Adventure",Male,2,0
678,"City, Historical",Female,2,2
679,"Beaches, Historical",Male,2,1
680,"Nature, Adventure",Male,1,0
681,"City, Historical",Female,1,2
682,"Beaches, Historical",Male,2,0
683,"Nature, Adventure",Female,1,0
684,"City, Historical",Male,1,0
685,"Beaches, Historical",Male,1,0
686,"Nature, Adventure",Male,2,2
687,"City, Historical",Female,1,1
688,"Beaches, Historical",Female,2,1
689,"Nature, Adventure",Male,1,0
690,"City, Historical",Male,2,2
691,"Beaches, Historical",Female,1,1
692,"Nature, Adventure",Male,2,1
693,"City, Historical",Male,2,0
694,"Beaches, Historical",Female,1,0
695,"Nature, Adventure",Female,2,2
696,"City, Historical",Male,1,1
697,"Beaches, Historical",Male,1,0
698,"Nature, Adventure",Male,1,2
699,"City, Historical",Male,2,2
700,"Beaches, Historical",Male,1,2
701,"Nature, Adventure",Female,2,1
702,"City, Historical",Male,1,1
703,"Beaches, Historical",Male,2,1
704,"Nature, Adventure",Male,2,2
705,"City, Historical",Female,1,2
706,"Beaches, Historical",Female,2,0
707,"Nature, Adventure",Female,2,0
708,"City, Historical",Male,1,1
709,"Beaches, Historical",Male,2,1
710,"Nature, Adventure",Female,2,0
711,"City, Historical",Male,2,1
712,"Beaches, Historical",Female,2,0
713,"Nature, Adventure",Female,2,0
714,"City, Historical",Male,1,0
715,"Beaches, Historical",Female,1,2
716,"Nature, Adventure",Female,2,1
717,"City, Historical",Female,2,2
718,"Beaches, Historical",Male,2,1
719,"Nature, Adventure",Female,2,2
720,"City, Historical",Female,1,1
721,"Beaches, Historical",Male,2,1
722,"Nature, Adventure",Female,1,0
723,"City, Historical",Female,1,2
724,"Beaches, Historical",Female,2,2
725,"Nature, Adventure",Male,1,1
726,"City, Historical",Male,2,2
727,"Beaches, Historical",Female,1,1
728,"Nature, Adventure",Female,2,1
729,"City, Historical",Female,2,0
730,"Beaches, Historical",Female,1,1
731,"Nature, Adventure",Female,2,2
732,"City, Historical",Male,2,0
733,"Beaches, Historical",Female,1,1
734,"Nature, Adventure",Male,2,0
735,"City, Historical",Female,1,0
736,"Beaches, Historical",Male,1,1
737,"Nature, Adventure",Female,1,2
738,"City, Historical",Female,1,1
739,"Beaches, Historical",Male,2,1
740,"Nature, Adventure",Female,1,1
741,"City, Historical",Female,1,1
742,"Beaches, Historical",Female,2,1
743,"Nature, Adventure",Female,1,2
744,"City, Historical",Female,1,0
745,"Beaches, Historical",Female,1,2
746,"Nature, Adventure",Female,2,1
747,"City, Historical",Female,1,0
748,"Beaches, Historical",Male,2,0
749,"Nature, Adventure",Female,1,0
750,"City, Historical",Male,1,2
751,"Beaches, Historical",Female,1,2
752,"Nature, Adventure",Male,1,2
753,"City, Historical",Female,2,1
754,"Beaches, Historical",Male,2,2
755,"Nature, Adventure",Male,2,2
756,"City, Historical",Male,1,2
757,"Beaches, Historical",Male,1,0
758,"Nature, Adventure",Male,2,0
759,"City, Historical",Female,2,1
760,"Beaches, Historical",Female,1,0
761,"Nature, Adventure",Male,2,1
762,"City, Historical",Female,2,0
763,"Beaches, Historical",Female,1,1
764,"Nature, Adventure",Female,2,1
765,"City, Historical",Male,2,0
766,"Beaches, Historical",Female,1,0
767,"Nature, Adventure",Female,2,2
768,"City, Historical",Female,1,2
769,"Beaches, Historical",Female,2,1
770,"Nature, Adventure",Female,2,1
771,"City, Historical",Male,1,1
772,"Beaches, Historical",Male,1,0
773,"Nature, Adventure",Male,1,0
774,"City, Historical",Male,1,2
775,"Beaches, Historical",Male,2,0
