poi_name,Latitude,Longitude,destination_name,DestinationID,source_city,Characteristics
Connoor Wellington lake,11.362051139943514,76.78565205553554,Connoor Wellington lake,35,Coimbatore,
Connoor Nilgiris Tea Garden,11.354627273535865,76.8007276414544,Connoor Nilgiris Tea Garden,36,Coimbatore,
Sleeping Lady View Point,11.352936437967712,76.79572609732544,Sleeping Lady View Point,37,Coimbatore,
Connoor Laws Falls,11.331726060581577,76.8006782921431,Connoor Laws Falls,38,Coimbatore,
Connoor Nilgir Mountain Railway Bridge,11.32850282800249,76.79469547442754,Connoor Nilgir Mountain Railway Bridge,39,Coimbatore,
Huligal Hills Connoor,11.333057872165591,76.79231460945284,Huligal Hills Connoor,40,Coimbatore,
Pakasun Peak View Point Coonnoor,11.316316080197913,76.83628786670877,Pakasun Peak View Point Coonnoor,41,Coimbatore,
Archedin Hills View Point Echo,11.306523816910344,76.79047379443543,Archedin Hills View Point Echo,42,Coimbatore,
Kullakamby Waterfalls,11.28838071426003,76.75246833385515,Kullakamby Waterfalls,43,Coimbatore,
Masinagudi Maravakandy Dam,11.573907075775631,76.65160224814332,Masinagudi Maravakandy Dam,44,Coimbatore,
Bandipura national park,11.66718843655108,76.62882288783878,Bandipura national park,45,Coimbatore,
Ooty Boating,11.405828189427153,76.68835584138812,Ooty Boating,46,Coimbatore,
Ooty Romantic Boating,11.403921671299525,76.68103622115639,Ooty Romantic Boating,47,Coimbatore,
Ooty horticulture garden,11.400838720988322,76.68376687466014,Ooty horticulture garden,48,Coimbatore,
Ooty thunderworld amusement park,11.404118021102295,76.69389339682384,Ooty thunderworld amusement park,49,Coimbatore,
Ooty Arbotreum Tea Garden,11.399710060444814,76.69384216740656,Ooty Arbotreum Tea Garden,50,Coimbatore,
Ooty Hill Stn,11.406556112607142,76.69289129590499,Ooty Hill Stn,51,Coimbatore,
Ooty Ketri Valley View point,11.397276899227164,76.71736752314064,Ooty Ketri Valley View point,52,Coimbatore,
Ooty Tiger Point,11.39720949434805,76.72706617961558,Ooty Tiger Point,53,Coimbatore,
Ooty pine Forest,11.43938920870781,76.65764844294748,Ooty pine Forest,54,Coimbatore,
Ooty market,11.415361046010506,76.69428256310111,Ooty market,55,Coimbatore,
Ooty Commercial Street,11.407239024013275,76.70383336237376,Ooty Commercial Street,56,Coimbatore,
Ooty Upper Bazaar,11.409028502138952,76.70189273914414,Ooty Upper Bazaar,57,Coimbatore,
Ooty CSI St Stephens Church,11.41522891266868,76.70231071899504,Ooty CSI St Stephens Church,58,Coimbatore,
Ooty Govt Museum,11.412205178301992,76.71486492909308,Ooty Govt Museum,59,Coimbatore,
,19.0169,72.8304,Siddhivinayak Temple,1,Mumbai,
,18.922456,72.834778,Gateway of India,2,Mumbai,
,19.0089,72.877778,Nehru Planetarium,3,Mumbai,
,18.935006,72.877647,Chhatrapati Shivaji Maharaj Terminus,4,Mumbai,
,18.3319,72.9608,Murud-Janjira Fort,5,Mumbai,
,18.329713361746343,72.95486193173977,Murud Beach,6,Mumbai,
,18.300156014427568,72.96436774462396,Janjira Fort,7,Mumbai,
,18.639,72.8721,Alibag Beach,8,Mumbai,
,18.9217,72.8332,Taj Mahal Palace,9,Mumbai,
,18.5363,72.9081,Kolrai Fort,10,Mumbai,
,18.17246302237629,72.98492329332804,Diveagar Beach,11,Mumbai,
,18.62100003712726,73.38569408022546,Korigad Fort,12,Mumbai,
,18.76028046996089,73.41271378000545,Lonavala,13,Mumbai,
,18.77762373291852,73.37706764104766,Khandala,14,Mumbai,
,18.706850013182454,73.4766610184896,Lohgad Fort,15,Mumbai,
,18.23901273427128,73.4260594189156,Raigad Fort,16,Mumbai,
,18.24669705420215,73.680805967798,Rajgad Fort,17,Mumbai,
,18.893146097050725,73.11253255493894,Karnala Bird Sanctury,18,Mumbai,
,18.991063679424894,73.26489983452869,Matheran,19,Mumbai,
,19.116413851188145,72.82182185203223,Juhu Beach,20,Mumbai,
,19.20813299542196,72.90503493966669,Kanheri Caves,21,Mumbai,
,18.92661731667806,72.83239118817315,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,22,Mumbai,
,18.963895294801937,72.9311323439948,Elephanta Caves,23,Mumbai,
,19.932044254276644,73.53040044004076,Trimbak,24,Mumbai,
,19.126976657260983,72.89601381516333,Powai Dam,25,Mumbai,
,27.58142423617325,77.69938204045077,Govind Devji Temple,1,Delhi,
,27.581495721798003,77.70220308716033,Vrindavan,2,Delhi,
,27.48312616690545,77.67349266793802,Mathura,3,Delhi,
,27.472728535517163,77.32370678384974,Deeg Palace,4,Delhi,
,28.46453569447908,76.88630872008495,Sultanpur National Park,5,Delhi,
,28.46957431064625,77.06595961917088,"Leisure Valley Park, Gurugram",6,Delhi,
,28.72301273219068,77.1967600670601,"Coronation Memorial, Delhi",7,Delhi,
,28.647033937463885,77.11094751837433,"Tagore Garden, Delhi",8,Delhi,
,28.64986333192377,77.12273845115627,"Rajouri Garden, Delhi",9,Delhi,
,28.65017763659732,77.31096798054972,"Shri Adya Katyayini Shaktipeetam, Delhi",10,Delhi,
,28.52462725075326,77.18540103561932,Qutub Minar,11,Delhi,
,28.52040276166104,77.18759277661503,Mehrauli Archaeological Park,12,Delhi,
,28.514292483218984,77.19751001123123,Garden Of Five Senses,13,Delhi,
,28.53924123301826,77.20635830806626,Begumpur Mosque,14,Delhi,
,28.55835801025009,77.1637061654741,Vasant Vihar Park,15,Delhi,
,28.55346728983995,77.19347145598984,Hauz Khas Fort,16,Delhi,
,28.56139602094004,77.19551357781658,Dr Bhim Rao Ambedkar Central Park,17,Delhi,
,28.55667495426084,77.20435947545128,Green Park,18,Delhi,
,28.55006058070057,77.25136017732581,Nehru Place,19,Delhi,
,28.553590203371563,77.25921781641556,Lotus Temple,20,Delhi,
,28.556272853780538,77.25378464049753,"ISCKON Temple, New Delhi",21,Delhi,
,28.57431946895084,77.30254256916241,Okhla Bird Sanctuary,22,Delhi,
,28.5896401574424,77.21053598592465,"Safdarjung Tomb, Delhi",23,Delhi,
,28.590779764624862,77.19283684430786,"Nehru Park, Delhi",24,Delhi,
,28.599949194136503,77.20608208239871,"Indira Gandhi Memorial Museum, Delhi",25,Delhi,
,28.602724436369822,77.21418692559428,"Gandhi Smriti Museum, Delhi",26,Delhi,
,28.59302605166532,77.21947244160401,"Lodhi Garden, Delhi",27,Delhi,
,28.590991234152103,77.218066964108,"Shah Tomb, Delhi",28,Delhi,
,28.596125304553425,77.22153237812597,"Sikandar Lodhi Tomb, Delhi",29,Delhi,
,28.593454278925687,77.250770630105,"Humayun's Tomb, Delhi",30,Delhi,
,28.597523779264503,77.24768072538501,"Mughal Garden Pavillion, Delhi",31,Delhi,
,28.60685653732513,77.24538953215539,"National Zoological Park, Delhi",32,Delhi,
,28.609753334185505,77.24369418054813,"Purana Qila, Delhi",33,Delhi,
,28.613765416942886,77.22955743807769,India Gate,34,Delhi,
,28.61453608176156,77.19952653196135,Rashtrapati Bhavan,35,Delhi,
,28.626545888185674,77.20913476891877,Gurudwara Sri Bangla Sahib,36,Delhi,
,28.627120596810663,77.21661596705638,"Jantar Mantar, Delhi",37,Delhi,
,28.62621265393028,77.22504762472802,"Ugrasen ki Baoli, Delhi",38,Delhi,
,28.650839233742666,77.23346355356487,"Jama Masjid, Delhi",39,Delhi,
,28.65668798895849,77.2439143550642,Red Fort,40,Delhi,
,28.617189,77.208084,Sansad Bhavan,41,Delhi,
,28.63278,77.21972,Connaught Place,42,Delhi,
,28.661,77.24,Salimgarh Fort,43,Delhi,
,28.51194,77.26083,Tughlaqabad,44,Delhi,
,28.656,77.231,Chandni Chowk,45,Delhi,
,28.6125,77.27722,"Akshardham, Delhi",46,Delhi,
,28.618038,77.201978,Cathedral Church of Redemption,47,Delhi,
,28.665637,77.230784,"St. James Church, Delhi",48,Delhi,
,28.611811,77.219262,"National Museum, New Delhi",49,Delhi,
,28.58472,77.18139,"National_Rail_Museum,_New_Delhi",50,Delhi,
,28.591306,77.241806,Nizamuddin Dargah,51,Delhi,
,28.64055,77.249433,Raj Ghat,52,Delhi,
,30.34734,76.39700436,Gurudwara Dukh Niwaran Sahib,1,Chandigarh,
,30.60365181,76.79231433,Chattbir Zoo,2,Chandigarh,
,30.68883438,76.70754415,Sohana Gurudwara,3,Chandigarh,
,30.74498009,76.7785198,Rose Garden,4,Chandigarh,
,30.74966503,76.78794088,Government Museum and Art Gallery,5,Chandigarh,
,30.75319516,76.79299456,Leisure Valley,6,Chandigarh,
,30.75831024,76.79615857,Bogainvilla Park,7,Chandigarh,
,30.75290995,76.80522405,"Rock Garden, Chandigarh",8,Chandigarh,
,30.75971997,76.80419957,"Tower of Shadows, Chandigarh",9,Chandigarh,
,30.79313736,76.91264309,Yadavindra Gardens,10,Chandigarh,
,31.23498045,76.49778731,Guru Tegh Bahadur Sikh Museum,11,Chandigarh,
,31.09744674,77.26471307,Himalayan Nature Park Kufri,12,Chandigarh,
,31.10127183,77.18446697,Jakhu Park,13,Chandigarh,
,31.10488449,77.17489152,"Indira Gandhi Statue, Shimla",14,Chandigarh,
,31.1115836,77.15816522,Annadale Golf Hub,15,Chandigarh,
IIT Guwahati,26.20274,91.70037,IIT Guwahati,1,Guwahati,"Education hub, technological innovation centre, academic excellence"
Sri Umananda Temple,26.19633,91.74516,Sri Umananda Temple,2,Guwahati,"Religious pilgrimage site, scenic location on an island, spiritual significance"
Guwahati Ropeway,10.83030209,76.72011221,Guwahati Ropeway,3,Guwahati,"Academic Institutions, Wildlife Sanctuaries, Eco-tourism"
Nehru Park,26.1885,91.74751,Nehru Park,4,Guwahati,"Green space for recreation, walking trails, peaceful ambiance"
Pan Bazar,26.1827,91.74922,Pan Bazar,5,Guwahati,"Bustling market area, shopping destination, variety of goods available"
Guwahati Planetorium,26.1914,91.75196,Guwahati Planetorium,6,Guwahati,"Educational center for astronomy, interactive exhibits, star-gazing sessions"
SUKRESHWAR MANDIR,26.1941,91.73515,SUKRESHWAR MANDIR,7,Guwahati,"Historic temple, cultural heritage site, religious festivals"
Umling,25.9826,91.86849,Umling,8,Guwahati,"Scenic spot, natural beauty, serene environment"
NARANARAYAN SETU,26.21899,90.56011,NARANARAYAN SETU,9,Guwahati,"Iconic bridge, engineering marvel, connectivity enhancement"
Girijananda Chowdhury University,26.13519,91.6252,Girijananda Chowdhury University,10,Guwahati,"Education institution, academic programs, research facilities"
,22.12628101072884,88.80336796364602,Sajnekhali Tiger Reserve,1,Kolkata,
,21.927451137268257,88.72376462625247,Sunderban Tiger Reserve,2,Kolkata,
,23.186820298552707,88.7573195924725,Bibhuti Bhushan Wildlife Sanctuary,3,Kolkata,
,22.654829418261937,88.35751994221687,Dakshineswar Kali Temple,4,Kolkata,
,22.58910528031276,88.41441044580745,Central Park,5,Kolkata,
,22.585117627837576,88.34692188033809,Howrah Bridge,6,Kolkata,
,22.56069061069505,88.28666686499392,Acharya Jagadish Chandra Bose Indian Botanic Garden,7,Kolkata,
,22.63302287587413,88.35668190308668,Belur Math,8,Kolkata,
,22.58368414714812,88.34194632208417,Howrah Junction,9,Kolkata,
,22.581632654503803,88.34866423201,Mullick Ghat Flower Market,10,Kolkata,
,22.57792352867062,88.34002333100035,Eastern Railway Museum,11,Kolkata,
,22.56993460803148,88.34594304965083,St. John's Protestant Church,12,Kolkata,
,22.56724151511054,88.34722568457533,"Raj Bhavan, Kolkata",13,Kolkata,
,22.5640619687781,88.34016990971726,"Eden Gardens Park, Kolkata",14,Kolkata,
,22.55787150592209,88.334652925938,Fort William,15,Kolkata,
,22.545938706027684,88.3428007528396,Victoria Memorial Garden,16,Kolkata,
,22.54428043566085,88.34663171333527,"St. Paul Cathedral Church, Kolkata",17,Kolkata,
,22.52022554265008,88.34212487231842,"Kalighat Mandir Shaktipeeth, Kolkata",18,Kolkata,
,22.568270171618224,88.39980653433466,"Subhash Sarovar, Kolkata",19,Kolkata,
,22.555412687079667,88.33083924171078,"James Prinsep Monument, Kolkata",20,Kolkata,
,22.530619467406368,88.36496360094151,"Birla Mandir, Kolkata",21,Kolkata,
,22.55781741519841,88.35107447324029,"Indian Museum, Kolkata",22,Kolkata,
,22.560601418784977,88.35255766257623,"New Market, Kolkata",23,Kolkata,
Perungudi Lake,12.97879545,80.25911807,Perungudi Lake,1,Chennai,
Hidden Lake,12.98347913,80.17878055,Hidden Lake,2,Chennai,
Perarignar Anna Museum,13.08181605,80.2852106,Perarignar Anna Museum,3,Chennai,
Adyar Banyan Tree,13.02228339,80.26735782,Adyar Banyan Tree,4,Chennai,
Dr. APJ Abdul Kalam Park,13.07579654,80.23371219,Dr. APJ Abdul Kalam Park,5,Chennai,
Elliot's Beach,12.9962,80.27058,Elliot's Beach,6,Chennai,
Governor's Bungalow,12.99805,80.27252,Governor's Bungalow,7,Chennai,
BSR Mall,12.94971542,80.24039587,BSR Mall,8,Chennai,
Iskcon Temple,12.9063536,80.2419164,Iskcon Temple,9,Chennai,
Matsya Narayana Temple,12.87894752,80.25115464,Matsya Narayana Temple,10,Chennai,
Kamakshi Temple,12.93430688,80.1564271,Kamakshi Temple,11,Chennai,
IIT Madras,12.98838,80.23313,IIT Madras,12,Chennai,
Thiruvalluvar Nagar Beach,12.97401018,80.26660144,Thiruvalluvar Nagar Beach,13,Chennai,
Anna University,13.01125874,80.23599613,Anna University,14,Chennai,
World Trade Centre,12.96205437,80.24473542,World Trade Centre,15,Chennai,
Marina Beach,13.06035177,80.28652158,Marina Beach,16,Chennai,
Phoenix Marketcity,12.99230853,80.21718025,Phoenix Marketcity,17,Chennai,
Gunidy National Park,12.99924,80.22982,Gunidy National Park,18,Chennai,
Vandalur Zoo,12.88075,80.08863,Vandalur Zoo,19,Chennai,
Arignar Anna Zoological Park,12.87983,80.08119,Arignar Anna Zoological Park,20,Chennai,
ECR Beach,12.89276,80.25302,ECR Beach,21,Chennai,
Golden Beach,12.91752,80.25426,Golden Beach,22,Chennai,
Writer's Café,12.98608,80.2503,Writer's Café,23,Chennai,
Taj Wellington Mews,12.99105,80.24989,Taj Wellington Mews,24,Chennai,
Krishnagiri Fort,12.25774,79.40604,Krishnagiri Fort,25,Chennai,
,17.92013350676561,77.50378654446357,Barid shahi tombs,1,Hyderabad,
,17.92109088059099,77.53011800762665,Bidar fort,2,Hyderabad,
,17.340568973569237,76.83316391549569,Gullbarga fort,3,Hyderabad,
,17.31150230215654,77.86458152119876,Ananthagiri Hills,4,Hyderabad,
,17.956421423606027,79.61528080613014,Warangal Fort,5,Hyderabad,
,17.988930121282316,79.58104181132668,Bhadrakali Lake,6,Hyderabad,
,15.994737572222489,78.51536680936599,Nallamala Forest,7,Hyderabad,
,16.08767787300494,78.90007103664608,Srisailam Dam,8,Hyderabad,
,17.51544549267734,78.89301504712414,Bhuvanagiri Fort,9,Hyderabad,
,17.254262820892503,78.67668144701415,Ramoji Film City,10,Hyderabad,
,17.603891227768315,78.49127067417294,Kandlakoya Oxygen Park,11,Hyderabad,
,17.36027114992298,78.2991613704272,Osman Sagar,12,Hyderabad,
,17.354621140482944,78.33855556024724,Mrugavani National Park,13,Hyderabad,
,17.384361436045833,78.40254514256978,Golconda Fort,14,Hyderabad,
,17.361641279223313,78.4746829026341,Charminar,15,Hyderabad,
,17.35804364879468,78.47160830379036,Chowmahalla Palace,16,Hyderabad,
,17.415545209443575,78.47499445321044,"Buddha Statue, Hussain Sagar",17,Hyderabad,
,17.413384260724886,78.46823596525006,NTR Gardens,18,Hyderabad,
,17.331114965334,78.466704595506,Falaknuma Palace,19,Hyderabad,
,17.350971404050874,78.44500433120271,Nehru Zoological Park,20,Hyderabad,
,17.421942773794026,78.48459666000542,Rotary Park for children,21,Hyderabad,
Hidimba Devi Temple_Manali,32.24833526945829,77.18163672060916,Hidimba Devi Temple_Manali,1,Manali,
Lama Dugh Trek Start Point Manali,32.24891979645484,77.17473428527502,Lama Dugh Trek Start Point Manali,2,Manali,
Lion King Rock Manali,32.244266316444936,77.17044846850328,Lion King Rock Manali,3,Manali,
Manali Market,32.24468918297311,77.18956942357829,Manali Market,4,Manali,
Lamadugh Top Trek,32.23110824368159,77.14187832083766,Lamadugh Top Trek,5,Manali,
Kanpari Tibba Hike,32.22391065320631,77.1302304281993,Kanpari Tibba Hike,6,Manali,
Kho Waterfall Manali,32.247887903686134,77.12297541173183,Kho Waterfall Manali,7,Manali,
Rahala Waterfall Manali,32.33625136688119,77.21854803795233,Rahala Waterfall Manali,8,Manali,
Panduropa Flat Top Hill,32.25946221461025,77.21848402908921,Panduropa Flat Top Hill,9,Manali,
Hampta Pass Snow Area,32.26716690207354,77.24741751855792,Hampta Pass Snow Area,10,Manali,
Hanuman Tibba Peak,32.33466840299741,77.05100070594082,Hanuman Tibba Peak,11,Manali,
Solang Valley Paragliding,32.31382979062826,77.16242532595082,Solang Valley Paragliding,12,Manali,
Solang Skiing and Zipline Adventure Manali,32.31670003194736,77.15300942283814,Solang Skiing and Zipline Adventure Manali,13,Manali,
Atal Tunnel South Point,32.36361719794495,77.13335350857449,Atal Tunnel South Point,14,Manali,
Atal Tunnel North point Rohtang,32.3867110525148,77.14353785343249,Atal Tunnel North point Rohtang,15,Manali,
Manali Snow Point,32.27574251908493,77.18074790982675,Manali Snow Point,16,Manali,
Jogini Waterfall,32.27545124219561,77.18928080486853,Jogini Waterfall,17,Manali,
Beas Riverside Camping,32.27119632126236,77.17900314763996,Beas Riverside Camping,18,Manali,
Manali Manikaran Gurudwara,32.02698512477785,77.34491090885182,Manali Manikaran Gurudwara,19,Manali,
Manali Manikaran Hindu Temples-Bholenaath Hot Spring Bath,32.02711759150014,77.34570827513664,Manali Manikaran Hindu Temples-Bholenaath Hot Spring Bath,20,Manali,
Manali-Leh Highway Gulaba Viewpoint,32.31759902602108,77.18913082906367,Manali-Leh Highway Gulaba Viewpoint,21,Manali,
Gulaba Tourist Snow Point,32.33149665625981,77.20649144607799,Gulaba Tourist Snow Point,22,Manali,
Stone Valley View Point,32.32993714265397,77.19872029723076,Stone Valley View Point,23,Manali,
Film City View Point Manali,32.339958397701324,77.2175023096346,Film City View Point Manali,24,Manali,
Vashisht Baths and Temples,32.26554000330208,77.1877742499158,Vashisht Baths and Temples,25,Manali,
Roericht Memorial Trust-Museum and Art Gallery,32.11663652454473,77.16821999017063,Roericht Memorial Trust-Museum and Art Gallery,26,Manali,
Naggar Castle Manali,32.111389188535654,77.16475818898942,Naggar Castle Manali,27,Manali,
Bhrigu Lake Historic Landmark,32.29322327465031,77.2431236396855,Bhrigu Lake Historic Landmark,28,Manali,
Jana Manali Waterfall and Forest,32.053215290606474,77.17192231800003,Jana Manali Waterfall and Forest,29,Manali,
Manali Wildlife Sanctuary,32.25087224735323,77.16645027298506,Manali Wildlife Sanctuary,30,Manali,
Manali Model Town Road Tibetan Food Spots and Market,32.24350370975672,77.18852495944651,Manali Model Town Road Tibetan Food Spots and Market,31,Manali,
Kullu Bijli Mahdev Temple,31.92326462466064,77.15035320951883,Kullu Bijli Mahdev Temple,32,Manali,
Kullu Tirthan Valley,31.62969159861745,77.41988134908156,Kullu Tirthan Valley,33,Manali,
Kullu Great Himalayan National Park,31.803962174803665,77.51394704083462,Kullu Great Himalayan National Park,34,Manali,
Kullu Jalori Pass-Ghat Road and Street Food,31.540452337219737,77.37639964889074,Kullu Jalori Pass-Ghat Road and Street Food,35,Manali,
Kullu Raghupur Fort,31.536313945310976,77.35119221616219,Kullu Raghupur Fort,36,Manali,
Kullu Hamta Pass Valley Walk,32.26939385959754,77.3469480843302,Kullu Hamta Pass Valley Walk,37,Manali,
Kullu Hanogi Mata Temple,31.69285166406993,77.12855383494012,Kullu Hanogi Mata Temple,38,Manali,
Kullu Maa Vaishno Devi Temple,31.98348837426248,77.1245107805577,Kullu Maa Vaishno Devi Temple,39,Manali,
Kullu Chandrakhani Pass,32.07253066626073,77.24098891384335,Kullu Chandrakhani Pass,40,Manali,
Kullu Dhakpo Monastery,32.02464512447148,77.13567378438918,Kullu Dhakpo Monastery,41,Manali,
Kullu Dechen Choekhor Buddhist Monastery,31.868146239915955,77.14781154259012,Kullu Dechen Choekhor Buddhist Monastery,42,Manali,
Old Mannali Village market Food,32.25360827616774,77.17749775495835,Old Mannali Village market Food,43,Manali,
Old manali Bridge,32.25291228995587,77.17974571801092,Old manali Bridge,44,Manali,
Manali Deo Tibba,32.19716347659341,77.38248943266356,Manali Deo Tibba,45,Manali,
Manali Nature Park,32.25164219325835,77.18642561403318,Manali Nature Park,46,Manali,
Dharamshala Tibet Museum and Liberary Archives,32.22623830991296,76.32505838189252,Dharamshala Tibet Museum and Liberary Archives,47,Manali,
Dharamshala Tsuglagkhang Complex Dalai Lama Temple,32.232149537597,76.32389251624281,Dharamshala Tsuglagkhang Complex Dalai Lama Temple,48,Manali,
Dharamshala Skyway View,32.234675948491194,76.32429879592124,Dharamshala Skyway View,49,Manali,
Dharamshala Mcleodganj Dal Lake,32.24696762134112,76.31074663938821,Dharamshala Mcleodganj Dal Lake,50,Manali,
Dharamshala Bhangsu Naag Temple and Waterfall,32.245989022032994,76.33660726910041,Dharamshala Bhangsu Naag Temple and Waterfall,51,Manali,
Dharamshala Naddi View and Sunset Point,32.2538812699704,76.30264310008089,Dharamshala Naddi View and Sunset Point,52,Manali,
NAAM European Art Gallery,32.188164452901624,76.35699431788326,NAAM European Art Gallery,53,Manali,
Chinmaya Tapovan Temple,32.17617799353176,76.35919650597334,Chinmaya Tapovan Temple,54,Manali,
Dharamshala Tea Garden,32.20517874183924,76.31165274293558,Dharamshala Tea Garden,55,Manali,
Kangra Fort,32.08741345522904,76.25387379100324,Kangra Fort,56,Manali,
Tatpani Hot Springs,32.12920435824533,76.17631165370514,Tatpani Hot Springs,57,Manali,
Himalaya Subbody Butoh Meditation Centre Dharmashala,32.230982194853645,76.327499005796,Himalaya Subbody Butoh Meditation Centre Dharmashala,58,Manali,
Nechung Monastery Dharamshala,32.225450219251435,76.32923316957542,Nechung Monastery Dharamshala,59,Manali,
Kangra Art Museum,32.21735876869869,76.31800922110794,Kangra Art Museum,60,Manali,
Dharamshala DipTseChokLing Monastery,32.237725451318845,76.32366346097756,Dharamshala DipTseChokLing Monastery,61,Manali,
Indru Naag Temple,32.221165749443315,76.33418198366218,Indru Naag Temple,62,Manali,
Manali Goshal Village,32.27449292872388,77.17216655380756,Manali Goshal Village,63,Manali,
Kullu Sarwari BAzaar,31.96367109153739,77.10921250766964,Kullu Sarwari BAzaar,64,Manali,
Palampur Town,32.10927061157032,76.53391378029384,Palampur Town,65,Manali,
Bhagsu Naag Town Enroute,32.24473170484054,76.33200872200287,Bhagsu Naag Town Enroute,66,Manali,
BhagsuNaag Karthani Leta Trail,32.25126919466008,76.36516507002344,BhagsuNaag Karthani Leta Trail,67,Manali,
KanialtoSalin and Lamadugh Top and Kanpari Tibba Trails Off Gadherni,32.213574714890875,77.15925982320333,KanialtoSalin and Lamadugh Top and Kanpari Tibba Trails Off Gadherni,68,Manali,
Kanial Top Boulder Trail,32.23719630335673,77.16533828149265,Kanial Top Boulder Trail,69,Manali,
Dzongsar Khyentse Chokyi LodroMonastery and College Of Dialectics,32.0069528931221,76.73786073465644,Dzongsar Khyentse Chokyi LodroMonastery and College Of Dialectics,70,Manali,
Dharamshala Kotwali Bazaar,32.21660712895279,76.31820442327334,Dharamshala Kotwali Bazaar,71,Manali,
Nhagsu Naag Triund Trek,32.26637548532709,76.34880036141003,Nhagsu Naag Triund Trek,72,Manali,
Lalbag Garden 1,12.951029926826324,77.58835455791878,Lalbag Garden,1,Bangalore,
Vidhan Soudha BLR,12.979595114199938,77.5905989623413,Vidhan Soudha BLR,2,Bangalore,
ISCKON Temple,13.00956,77.55012,ISCKON Temple,3,Bangalore,
Tipu Sultan Summer Palace,12.95927723,77.57392024,Tipu Sultan Summer Palace,4,Bangalore,
HAL Heritage Centre,12.955466880580843,77.68077037567232,HAL Heritage Centre,5,Bangalore,
Cubbon Park 1,12.977437711907577,77.59505833589142,Cubbon Park,6,Bangalore,
