host_id,name,state,city,languages,skills,interests,role,price_per_hour,rating,experience_count,availability,verified,is_demo_data
1,Demo Host 001,Telangana,Hyderabad,English | Hindi,Guide,Culture | Adventure,Guide,300,4.6,194,Weekends,True,True
131,Demo Host 131,Tamil Nadu,Coimbatore,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,500,4.9,40,Weekends,True,True
132,Demo Host 132,Tamil Nadu,Madurai,English | Kannada,Shopping Companion,Heritage | Nature,Shopping Companion,400,4.3,81,Weekdays & Weekends,True,True
133,Demo Host 133,Tamil Nadu,Ooty,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,1000,4.3,230,Weekends,True,True
134,Demo Host 134,Kerala,Kochi,English | Hindi,Guide,Photography | Spiritual,Guide,300,4.3,74,Weekdays & Weekends,True,True
135,Demo Host 135,Kerala,Munnar,English | Bengali,Local Companion,Shopping | Food,Local Companion,500,4.2,33,Weekends,True,True
136,Demo Host 136,Kerala,Thiruvananthapuram,English | Hindi,Food Expert,Heritage | Nature,Food Expert,800,4.3,18,Weekdays & Weekends,True,True
137,Demo Host 137,Kerala,Alappuzha,English | Hindi,Photographer,Culture | Adventure,Photographer,800,4.7,18,Weekends,True,True
138,Demo Host 138,Maharashtra,Mumbai,English | Telugu,Heritage Expert,Photography | Spiritual,Heritage Expert,600,4.5,171,Weekdays & Weekends,True,True
139,Demo Host 139,Maharashtra,Pune,English | Hindi,Shopping Companion,Shopping | Food,Shopping Companion,800,4.6,82,Weekends,True,True
140,Demo Host 140,Maharashtra,Nashik,English | Hindi,Nature Guide,Heritage | Nature,Nature Guide,800,4.9,219,Weekdays & Weekends,True,True
141,Demo Host 141,Rajasthan,Jaipur,English | Malayalam,Guide,Culture | Adventure,Guide,600,4.3,15,Weekends,True,True
142,Demo Host 142,Rajasthan,Udaipur,English | Hindi,Local Companion,Photography | Spiritual,Local Companion,1000,4.4,63,Weekdays & Weekends,True,True
143,Demo Host 143,Rajasthan,Jodhpur,English | Hindi,Food Expert,Shopping | Food,Food Expert,600,4.5,144,Weekends,True,True
144,Demo Host 144,Delhi,New Delhi,English | English,Photographer,Heritage | Nature,Photographer,400,4.5,17,Weekdays & Weekends,True,True
145,Demo Host 145,Uttar Pradesh,Agra,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,1000,4.3,133,Weekends,True,True
146,Demo Host 146,Uttar Pradesh,Varanasi,English | Hindi,Shopping Companion,Photography | Spiritual,Shopping Companion,300,4.2,209,Weekdays & Weekends,True,True
147,Demo Host 147,Goa,Panaji,English | Tamil,Nature Guide,Shopping | Food,Nature Guide,500,4.3,231,Weekends,True,True
148,Demo Host 148,Goa,North Goa,English | Hindi,Guide,Heritage | Nature,Guide,1000,4.9,211,Weekdays & Weekends,True,True
149,Demo Host 149,West Bengal,Kolkata,English | Hindi,Local Companion,Culture | Adventure,Local Companion,400,4.8,244,Weekends,True,True
150,Demo Host 150,Assam,Guwahati,English | Marathi,Food Expert,Photography | Spiritual,Food Expert,600,4.7,195,Weekdays & Weekends,True,True
151,Demo Host 151,Himachal Pradesh,Manali,English | Hindi,Photographer,Shopping | Food,Photographer,600,4.3,195,Weekends,True,True
152,Demo Host 152,Himachal Pradesh,Shimla,English | Hindi,Heritage Expert,Heritage | Nature,Heritage Expert,800,4.6,136,Weekdays & Weekends,True,True
153,Demo Host 153,Uttarakhand,Rishikesh,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,1000,4.6,215,Weekends,True,True
154,Demo Host 154,Uttarakhand,Dehradun,English | Hindi,Nature Guide,Photography | Spiritual,Nature Guide,800,4.7,99,Weekdays & Weekends,True,True
155,Demo Host 155,Jammu and Kashmir,Srinagar,English | Hindi,Guide,Shopping | Food,Guide,400,4.3,70,Weekends,True,True
156,Demo Host 156,Ladakh,Leh,English | Kannada,Local Companion,Heritage | Nature,Local Companion,500,4.5,122,Weekdays & Weekends,True,True
157,Demo Host 157,Odisha,Bhubaneswar,English | Hindi,Food Expert,Culture | Adventure,Food Expert,600,4.5,61,Weekends,True,True
158,Demo Host 158,Odisha,Puri,English | Hindi,Photographer,Photography | Spiritual,Photographer,600,4.5,94,Weekdays & Weekends,True,True
159,Demo Host 159,Punjab,Amritsar,English | Bengali,Heritage Expert,Shopping | Food,Heritage Expert,500,4.7,97,Weekends,True,True
160,Demo Host 160,Gujarat,Ahmedabad,English | Hindi,Shopping Companion,Heritage | Nature,Shopping Companion,400,5.0,77,Weekdays & Weekends,True,True
161,Demo Host 161,Telangana,Hyderabad,English | Hindi,Nature Guide,Culture | Adventure,Nature Guide,800,4.6,229,Weekends,True,True
162,Demo Host 162,Telangana,Warangal,English | Telugu,Guide,Photography | Spiritual,Guide,800,4.6,85,Weekdays & Weekends,True,True
163,Demo Host 163,Andhra Pradesh,Visakhapatnam,English | Hindi,Local Companion,Shopping | Food,Local Companion,1000,4.7,212,Weekends,True,True
164,Demo Host 164,Andhra Pradesh,Vijayawada,English | Hindi,Food Expert,Heritage | Nature,Food Expert,400,4.6,202,Weekdays & Weekends,True,True
165,Demo Host 165,Andhra Pradesh,Tirupati,English | Malayalam,Photographer,Culture | Adventure,Photographer,800,4.4,160,Weekends,True,True
166,Demo Host 166,Karnataka,Bengaluru,English | Hindi,Heritage Expert,Photography | Spiritual,Heritage Expert,400,4.4,185,Weekdays & Weekends,True,True
167,Demo Host 167,Karnataka,Mysuru,English | Hindi,Shopping Companion,Shopping | Food,Shopping Companion,600,4.9,175,Weekends,True,True
168,Demo Host 168,Karnataka,Hampi,English | English,Nature Guide,Heritage | Nature,Nature Guide,1000,4.7,37,Weekdays & Weekends,True,True
169,Demo Host 169,Karnataka,Mangaluru,English | Hindi,Guide,Culture | Adventure,Guide,600,4.8,28,Weekends,True,True
170,Demo Host 170,Tamil Nadu,Chennai,English | Hindi,Local Companion,Photography | Spiritual,Local Companion,600,4.9,25,Weekdays & Weekends,True,True
171,Demo Host 171,Tamil Nadu,Coimbatore,English | Tamil,Food Expert,Shopping | Food,Food Expert,800,5.0,38,Weekends,True,True
172,Demo Host 172,Tamil Nadu,Madurai,English | Hindi,Photographer,Heritage | Nature,Photographer,400,4.7,201,Weekdays & Weekends,True,True
173,Demo Host 173,Tamil Nadu,Ooty,English | Hindi,Heritage Expert,Culture | Adventure,Heritage Expert,500,4.8,196,Weekends,True,True
174,Demo Host 174,Kerala,Kochi,English | Marathi,Shopping Companion,Photography | Spiritual,Shopping Companion,1000,4.4,236,Weekdays & Weekends,True,True
175,Demo Host 175,Kerala,Munnar,English | Hindi,Nature Guide,Shopping | Food,Nature Guide,800,4.3,149,Weekends,True,True
176,Demo Host 176,Kerala,Thiruvananthapuram,English | Hindi,Guide,Heritage | Nature,Guide,600,4.3,155,Weekdays & Weekends,True,True
177,Demo Host 177,Kerala,Alappuzha,English | Hindi,Local Companion,Culture | Adventure,Local Companion,300,4.7,143,Weekends,True,True
178,Demo Host 178,Maharashtra,Mumbai,English | Hindi,Food Expert,Photography | Spiritual,Food Expert,500,4.6,119,Weekdays & Weekends,True,True
179,Demo Host 179,Maharashtra,Pune,English | Hindi,Photographer,Shopping | Food,Photographer,800,4.8,192,Weekends,True,True
180,Demo Host 180,Maharashtra,Nashik,English | Kannada,Heritage Expert,Heritage | Nature,Heritage Expert,600,4.7,125,Weekdays & Weekends,True,True
181,Demo Host 181,Rajasthan,Jaipur,English | Hindi,Shopping Companion,Culture | Adventure,Shopping Companion,300,4.3,233,Weekends,True,True
182,Demo Host 182,Rajasthan,Udaipur,English | Hindi,Nature Guide,Photography | Spiritual,Nature Guide,800,4.3,33,Weekdays & Weekends,True,True
183,Demo Host 183,Rajasthan,Jodhpur,English | Bengali,Guide,Shopping | Food,Guide,500,4.5,166,Weekends,True,True
184,Demo Host 184,Delhi,New Delhi,English | Hindi,Local Companion,Heritage | Nature,Local Companion,1000,4.7,194,Weekdays & Weekends,True,True
185,Demo Host 185,Uttar Pradesh,Agra,English | Hindi,Food Expert,Culture | Adventure,Food Expert,800,4.9,86,Weekends,True,True
186,Demo Host 186,Uttar Pradesh,Varanasi,English | Telugu,Photographer,Photography | Spiritual,Photographer,800,4.4,191,Weekdays & Weekends,True,True
187,Demo Host 187,Goa,Panaji,English | Hindi,Heritage Expert,Shopping | Food,Heritage Expert,800,4.5,94,Weekends,True,True
188,Demo Host 188,Goa,North Goa,English | Hindi,Shopping Companion,Heritage | Nature,Shopping Companion,400,4.3,43,Weekdays & Weekends,True,True
189,Demo Host 189,West Bengal,Kolkata,English | Malayalam,Nature Guide,Culture | Adventure,Nature Guide,300,4.6,234,Weekends,True,True
190,Demo Host 190,Assam,Guwahati,English | Hindi,Guide,Photography | Spiritual,Guide,800,4.8,98,Weekdays & Weekends,True,True
191,Demo Host 191,Himachal Pradesh,Manali,English | Hindi,Local Companion,Shopping | Food,Local Companion,400,4.9,140,Weekends,True,True
192,Demo Host 192,Himachal Pradesh,Shimla,English | English,Food Expert,Heritage | Nature,Food Expert,500,4.6,196,Weekdays & Weekends,True,True
193,Demo Host 193,Uttarakhand,Rishikesh,English | Hindi,Photographer,Culture | Adventure,Photographer,300,5.0,97,Weekends,True,True
